id,title,artist,composer,lyricist,arranger,producer,year,bpm
yDcCfmekCiYSDw150dJw,"只是太愛你 + 斷點","張敬軒","","","","",,
yYZmasAbW4E1rJRDFv6d,"情義兩心堅","劉德華","","","","",,
z4L6pdxGSXGIVpgeZ66v,"","Unknown","","","","",,
zLHLCCMv9Qv5SSNxn6F8,"Don't Break My Heart","蘇俏慧","","","","",,
zRFj3h0dfkN4DUsJcatu,"那些你很冒險的夢","林俊傑","","","","",,
0raxQoClNCaC3Xjka8dq,"非安全地帶","許志安","","林寶","","",,
7shhtVEpYei5wjoQfFrk,"當我想起你","陳百強","","林敏聰","","",,
8DM1DwOVAgBNbKJzNCqa,"親愛的 Dearest","洪嘉豪 Hung Kaho","","洪嘉豪 編：周錫漢 / 葉澍暉 監：周錫漢","","",,
8R8kAeI5q92y1DBKY02K,"I'm okay","MC 張天賦","","MC 張天賦 編監：徐浩","","",,
8t82tgpU9g0rt1VT4WAo,"遙望","Beyond","","黃家駒","","",,
C3cEmTRCOPbistIP8ee2,"第四名的星空 The Shining No.4","Zpecial","","Oscar","","",,
DDJ9lahbdvPJ4CGGJxQZ,"年輕的茶餐廳老闆娘","my little airport","","林阿p","","",,
HubpLX6SU8rO9stPLNfn,"長相廝守","ToNick","ToNick","","","",,
IxUdOoh5EJRyZlFbvaRY,"改編自 : (MONGOL800 :小さな戀のうた ) 求婚大作戰 插曲 ZACK Wing","大愛","","ZACKWING","","",,
KJLlEzdKqoQy12nrpXdX,"立志擺上","Unknown","","DJS","","",,
KcflBs7Fvv49zww1ozkY,"Here We Are","吳雨霏","","Tim","","",,
M1alWVg6EyGmpaUBPD1y,"Let's Say","方皓玟","","方皓玟","","",,
Rb5bgekufzOeOoYNMXbq,"你流淚所以我流淚","Dear Jane","","陳詠謙","","",,
TPtURMBKRzbyBmmOoskc,"心之科學","容祖兒","","黃偉文","","",,
WE9BlVRjfJaWmkOLl1Ua,"粵語版  [GUITAR TAB]","Blowing in the Wind","Bob","","","",,
YPgi2E2Lcgq087v0aZtB,"說再見了吧","SupperMoment","","SupperMoment","","",,
Zr8WTMgRjS8OnM216Bii,"壞孩子的天空","陳冠希","","李峻一","","",,
aDNLJTw2pmNxBTTqUXhb,"張懸 兒歌","Unknown","","焦安溥","","",,
aGvejDOERWF2yhVdfbiT,"Hung Kaho  下世愛你 Till We Meet Again","洪嘉豪 Hung Kaho","","洪嘉豪","","",,
cenWP4X0XBXXL984llsY,"/ Sandy Tang","泳兒","","Dennis Chan","","",,
dgooq7yB3u2IIpd40gTG,"回憶備份","ToNick","skot suyama 陶山","","","",,
eTGK0CCaOvR3gNhm44aO,"無盡","Supper Moment","","Supper Moment","","",,
ecKo6s5IdWb6b7JlfKBx,"2084","Dear Jane","","林寶","","",,
hM4GQ78f421s6ZkpSIho,"浮誇","陳奕迅","","黃偉文","","",,
hYNYntVyerF0Fi3sgnkZ,"明日明日 Tomorrow Tomorrow","Dear Jane","","甄敏延","","",,
jOrgVUYMsJc7uClB8pQU,"其實毒撚一個過平安夜更開心","神奇膠","","762@神奇膠","","",,
mZjozLwAslcaMQRI9GSs,"如何變回不知道 Now I can’t unknow this","Dear Jane","","黃偉文","","",,
pGd4GWiquRr2l6DNZCMU,"出走半生","Forward","釗@Forward","","","",,
qDjq8BbV3MnCvHfMkEUx,"老鼠愛大米","王啟文","","楊臣剛","","",,
qDtzHjMCvxyOUWgijrUq,"謝安琪 孤嶺花","Unknown","","周博賢","","",,
qMfLKBzxD16Ow4p4MfPX,"到底發生過什麼事","Dear Jane","","黃偉文","","",,
qy0VDIFZSBxcwl4R0NTb,"其實最怕寫情歌","Zpecial","","黃偉文","","",,
r2kosr1s62WNQVmd6Tgh,"蘇俏慧 夏日祭","Unknown","","蘇俏慧","","",,
rG4ejq16PumPx8ajaDtz,"Jay Chou","周杰倫","","周杰倫","","",,
rj8f0yBkOQ5oC113exEL,"Ms. Why","蘇俏慧","","蘇俏慧","","",,
thIIsmQfvqCgdS3ZF4M2,"朋友仔","Kermit","","Kermit Tam","","",,
u5uQhg7jRyFmPwfY7f78,"點心歌","兒歌","","波波＠天晴童謠 編：San Wong","","",,
uIvcac4H3qDkF9gZ1qrw,"還要去過生活","方皓玟","","方皓玟","","",,
upre8BaZPpoUNnv6udfW,"張曼莉 恭喜你","Unknown","","黃沾","","",,
uySD5s2FmzNxR6DZ8hg2,"隨風","新青年理髮廳","新青年理髮廳","","","",,
vN9oWIU7vIfSlParcH7f,"和暖的風","Byejack","","Byejack","","",,
xcXsXaVNuKul6i2xSDxb,"Gareth.T  笑住喊","Unknown","","林海峰","","",,
y74xG2ddOpIpFDYALGCa,"如果世外見","陳健安 On Chan","","馮穎琪","","",,
zSNlBNwipoUKBi0yhCgn,"想和你 With You","Yan Ting 周殷廷","周殷廷","","","",,
012rGmoqGk5tMi03Ih3u,"我們都(可以)是天使","謝雅兒","林家謙","林夕 編監：林家謙","","",,
1K6X07C8NJf6B8O80WNv,"甄妮 鐵血丹心","羅文","顧嘉輝","鄧偉雄","","",,
